date,Less: credit impairments in respect of loans and advances,"Overdrafts, loans and advances: private sector (total of items 181, 187 and 188)",NPL
2022-01-01,166213362.3869,1456373787.4417,0.1141282298680164
2022-02-01,166594861.4993,1466025991.5973,0.11363704494610463
2022-03-01,167586427.22,1482627649.515,0.11303338857522398
2022-04-01,168809546.5054,1504029620.3545,0.1122381795018183
2022-05-01,169835460.3779,1505709083.0233,0.11279433875559075
2022-06-01,169710030.4779,1532448982.3678,0.11074432651955537
2022-07-01,169622598.601,1560849812.5949,0.10867323507506711
2022-08-01,170661761.2129,1601912200.2996,0.10653627657057718
2022-09-01,172679007.4389,1611925876.7744,0.10712589823574599
2022-10-01,175446060.014,1599293570.8475,0.10970222303903052
2022-11-01,174275795.0229,1613105129.6352,0.10803746874347368
2022-12-01,174460271.3943,1611322091.653,0.10827150716671873
2023-01-01,177624681.5602,1651066383.3731,0.10758179280309485
2023-02-01,180210799.3103,1668393654.8364,0.10801455567029902
2023-03-01,181906401.7515,1662820118.6074,0.10939631997226816
2023-04-01,184256634.2338,1670463810.2742,0.11030267947173007
2023-05-01,187407166.6295,1614953074.6172,0.11604496104255044
2023-06-01,189235854.9594,1661314438.6006,0.11390730770919073
2023-07-01,191299346.4867,1669202443.1018,0.11460523993196264
2023-08-01,192842550.1072,1665338625.0703,0.11579780064193215
2023-09-01,192485687.4476,1697978907.8948,0.11336164810565813
2023-10-01,194002984.1025,1677783008.3789,0.11563055718984107
2023-11-01,193796530.8113,1696236602.2736,0.11425088372196378
2023-12-01,194735700.2959,1710730936.8201,0.11383186923472252
2024-01-01,195989786.1934,1694526365.9539,0.11566051147458625
2024-02-01,198532288.1823,1711403215.4075,0.11600555987913563
2024-03-01,199915094.87,1779019886.1416,0.11237372691970454
2024-04-01,201133186.0807,1722296453.4458,0.11678197773576823
2024-05-01,202673544.4104,1718614909.9634,0.11792842203068993
2024-06-01,200914627.3448,1756540440.3239,0.11438087204400033
2024-07-01,202864133.9438,1743396663.1395,0.11636143296183858
2024-08-01,202322921.8787,1770174366.9879,0.11429547600046282
2024-09-01,203262079.9331,1797336658.1257,0.11309071064352846
2024-10-01,204640801.8811,1765033914.074,0.1159415693088605
2024-11-01,204217463.1439,1764308166.6769,0.11574931579472682
2024-12-01,201029458.1265,1773813586.0146,0.11333178396619033
2025-01-01,203327835.806,1761161855.3197,0.11545096505005233
2025-02-01,205091959.584,1774258837.5533,0.11559303256272432
